"Gen";"Run";"Behandlung";"Repetition";"delta_ct"
"NT5E";1;"MSC0";1;0,0830428634
"NT5E";1;"MSC0";2;0,1476240827
"NT5E";1;"MSC0";3;0,105843164
"NT5E";1;"MSC50";1;0,1147580025
"NT5E";1;"MSC50";2;0,1680155499
"NT5E";1;"MSC50";3;0,1546058342
"NT5E";1;"MSC100";1;0,1291094644
"NT5E";1;"MSC100";2;0,1291094644
"NT5E";1;"MSC100";3;0,1163599645
"NT5E";1;"AC0";1;0,1336624998
"NT5E";1;"AC0";2;0,1622923235
"NT5E";1;"AC0";3;0,1204633898
"NT5E";1;"AC50";1;0,0696692898
"NT5E";1;"AC50";2;0,1085676858
"NT5E";1;"AC50";3;0,0736416962
"NT5E";1;"AC100";1;0,1600579971
"NT5E";1;"AC100";2;0,0654558827
"NT5E";1;"AC100";3;0,0736416962
"NT5E";2;"MSC0";1;0,136156082
"NT5E";2;"MSC0";2;0,1371031225
"NT5E";2;"MSC0";3;0,1201853816
"NT5E";2;"MSC50";1;0,1282176402
"NT5E";2;"MSC50";2;0,1432559202
"NT5E";2;"MSC50";3;0,1751504581
"NT5E";2;"MSC100";1;0,1279217365
"NT5E";2;"MSC100";2;0,1553219181
"NT5E";2;"MSC100";3;0,1619177815
"NT5E";2;"AC0";1;0,1574901312
"NT5E";2;"AC0";2;0,1771856084
"NT5E";2;"AC0";3;0,1979672013
"NT5E";2;"AC50";1;0,097846677
"NT5E";2;"AC50";2;0,1108489236
"NT5E";2;"AC50";3;0,1213012789
"NT5E";2;"AC100";1;0,0885928042
"NT5E";2;"AC100";2;0,0929973446
"NT5E";2;"AC100";3;0,1279217365
"NT5E";3;"MSC0";1;0,126744935
"NT5E";3;"MSC0";2;0,1435872944
"NT5E";3;"MSC0";3;0,0973955725
"NT5E";3;"MSC50";1;0,1103378745
"NT5E";3;"MSC50";2;0,1303082201
"NT5E";3;"MSC50";3;0,1224275372
"NT5E";3;"MSC100";1;0,1521254392
"NT5E";3;"MSC100";2;0,1699677966
"NT5E";3;"MSC100";3;0,1459284755
"NT5E";3;"AC0";1;0,1695755409
"NT5E";3;"AC0";2;0,1486508894
"NT5E";3;"AC0";3;0,1207420411
"NT5E";3;"AC50";1;0,1111053351
"NT5E";3;"AC50";2;0,1207420411
"NT5E";3;"AC50";3;0,1528300347
"NT5E";3;"AC100";1;0,1486508894
"NT5E";3;"AC100";2;0,1486508894
"NT5E";3;"AC100";3;0,1080671539
"THY1";1;"MSC0";1;0,3415100642
"THY1";1;"MSC0";2;0,1593200784
"THY1";1;"MSC0";3;0,1549634625
"THY1";1;"MSC50";1;0,183858358
"THY1";1;"MSC50";2;0,6056963685
"THY1";1;"MSC50";3;0,2767521954
"THY1";1;"MSC100";1;0,2247926339
"THY1";1;"MSC100";2;0,1657024302
"THY1";1;"MSC100";3;0,1763687259
"THY1";1;"AC0";1;0,0602316949
"THY1";1;"AC0";2;0,0331848064
"THY1";1;"AC0";3;0,0499513219
"THY1";1;"AC50";1;0,0368208481
"THY1";1;"AC50";2;0,0260362714
"THY1";1;"AC50";3;0,0459645895
"THY1";1;"AC100";1;0,037334848
"THY1";1;"AC100";2;0,0345940244
"THY1";1;"AC100";3;0,0773029171
"THY1";2;"MSC0";1;0,3694198601
"THY1";2;"MSC0";2;0,3798056661
"THY1";2;"MSC0";3;0,4362821438
"THY1";2;"MSC50";1;0,2748405283
"THY1";2;"MSC50";2;0,2477001533
"THY1";2;"MSC50";3;0,2845327586
"THY1";2;"MSC100";1;0,1390170107
"THY1";2;"MSC100";2;0,1288115025
"THY1";2;"MSC100";3;0,143919435
"THY1";2;"AC0";1;0,0205222587
"THY1";2;"AC0";2;0,0171378903
"THY1";2;"AC0";3;0,0216923977
"THY1";2;"AC50";1;0,0120624491
"THY1";2;"AC50";2;0,0123159068
"THY1";2;"AC50";3;0,0134772192
"THY1";2;"AC100";1;0,0131693991
"THY1";2;"AC100";2;0,0139202925
"THY1";2;"AC100";3;0,0152328884
"THY1";3;"MSC0";1;0,3486859166
"THY1";3;"MSC0";2;0,6029039138
"THY1";3;"MSC0";3;0,4233726562
"THY1";3;"MSC50";1;0,183010712
"THY1";3;"MSC50";2;0,2284578626
"THY1";3;"MSC50";3;0,2698070591
"THY1";3;"MSC100";1;0,1244237099
"THY1";3;"MSC100";2;0,1046274516
"THY1";3;"MSC100";3;0,1429253109
"THY1";3;"AC0";1;0,025207555
"THY1";3;"AC0";2;0,030819772
"THY1";3;"AC0";3;0,0245182531
"THY1";3;"AC50";1;0,0157336805
"THY1";3;"AC50";2;0,015409886
"THY1";3;"AC50";3;0,0240136747
"THY1";3;"AC100";1;0,0224055508
"THY1";3;"AC100";2;0,025207555
"THY1";3;"AC100";3;0,0289558769
"ALCAM";1;"MSC0";1;0,0947322854
"ALCAM";1;"MSC0";2;0,1988841209
"ALCAM";1;"MSC0";3;0,126744935
"ALCAM";1;"MSC50";1;0,1393385796
"ALCAM";1;"MSC50";2;0,232719929
"ALCAM";1;"MSC50";3;0,1864249251
"ALCAM";1;"MSC100";1;0,1589523958
"ALCAM";1;"MSC100";2;0,2097389437
"ALCAM";1;"MSC100";3;0,2011950431
"ALCAM";1;"AC0";1;0,0237927636
"ALCAM";1;"AC0";2;0,0131998621
"ALCAM";1;"AC0";3;0,0211480238
"ALCAM";1;"AC50";1;0,0290899911
"ALCAM";1;"AC50";2;0,009205212
"ALCAM";1;"AC50";3;0,0090784811
"ALCAM";1;"AC100";1;0,009141627
"ALCAM";1;"AC100";2;0,0158065538
"ALCAM";1;"AC100";3;0,009141627
"ALCAM";2;"MSC0";1;0,2035328169
"ALCAM";2;"MSC0";2;0,28783887
"ALCAM";2;"MSC0";3;0,2594149148
"ALCAM";2;"MSC50";1;0,187721613
"ALCAM";2;"MSC50";2;0,1715459138
"ALCAM";2;"MSC50";3;0,2186456675
"ALCAM";2;"MSC100";1;0,1809086547
"ALCAM";2;"MSC100";2;0,1449204739
"ALCAM";2;"MSC100";3;0,1068258968
"ALCAM";2;"AC0";1;0,0082198816
"ALCAM";2;"AC0";2;0,0097076199
"ALCAM";2;"AC0";3;0,0145114283
"ALCAM";2;"AC50";1;0,007848685
"ALCAM";2;"AC50";2;0,0118963818
"ALCAM";2;"AC50";3;0,0136653542
"ALCAM";2;"AC100";1;0,0070573063
"ALCAM";2;"AC100";2;0,0087489969
"ALCAM";2;"AC100";3;0,0133532371
"ALCAM";3;"MSC0";1;0,1538930517
"ALCAM";3;"MSC0";2;0,2044755146
"ALCAM";3;"MSC0";3;0,2237562677
"ALCAM";3;"MSC50";1;0,327598351
"ALCAM";3;"MSC50";2;0,2116863281
"ALCAM";3;"MSC50";3;0,1604282372
"ALCAM";3;"MSC100";1;0,1352155833
"ALCAM";3;"MSC100";2;0,134281581
"ALCAM";3;"MSC100";3;0,1046274516
"ALCAM";3;"AC0";1;0,0145786405
"ALCAM";3;"AC0";2;0,0141799868
"ALCAM";3;"AC0";3;0,0155170702
"ALCAM";3;"AC50";1;0,0110485435
"ALCAM";3;"AC50";2;0,0131390065
"ALCAM";3;"AC50";3;0,0098887234
"ALCAM";3;"AC100";1;0,0133224202
"ALCAM";3;"AC100";2;0,0107464205
"ALCAM";3;"AC100";3;0,0119239001
"NES";4;"MSC0";1;0,0137604043
"NES";4;"MSC0";2;0,0140495396
"NES";4;"MSC0";3;0,0139524924
"NES";4;"MSC50";1;0,0155529637
"NES";4;"MSC50";2;0,0128983768
"NES";4;"MSC50";3;0,0196862664
"NES";4;"MSC100";1;0,0107216196
"NES";4;"MSC100";2;0,0145449956
"NES";4;"MSC100";3;0,0138561155
"NES";4;"AC0";1;0,0003319684
"NES";4;"AC0";2;0,0003184453
"NES";4;"AC0";3;0,0002677795
"NES";4;"AC50";1;0,0003061798
"NES";4;"AC50";2;0,0003641112
"NES";4;"AC50";3;0,0003902447
"NES";4;"AC100";1;0,0003342774
"NES";4;"AC100";2;0,000370904
"NES";4;"AC100";3;0,0003413013
"NES";5;"MSC0";1;0,0178244331
"NES";5;"MSC0";2;0,0181989623
"NES";5;"MSC0";3;0,0233570195
"NES";5;"MSC50";1;0,0154812596
"NES";5;"MSC50";2;0,0164777911
"NES";5;"MSC50";3;0,0197318039
"NES";5;"MSC100";1;0,0140171158
"NES";5;"MSC100";2;0,0156611432
"NES";5;"MSC100";3;0,0141146125
"NES";5;"AC0";1;0,0007661954
"NES";5;"AC0";2;0,000605326
"NES";5;"AC0";3;0,0004882813
"NES";5;"AC50";1;0,0003243862
"NES";5;"AC50";2;0,0003177104
"NES";5;"AC50";3;0,0002125368
"NES";5;"AC100";1;0,0002067249
"NES";5;"AC100";2;0,000258061
"NES";5;"AC100";3;0,0003335059
"NES";6;"MSC0";1;0,0174576115
"NES";6;"MSC0";2;0,015409886
"NES";6;"MSC0";3;0,0164018232
"NES";6;"MSC50";1;0,0122308346
"NES";6;"MSC50";2;0,0097300752
"NES";6;"MSC50";3;0,0102138222
"NES";6;"MSC100";1;0,0129581179
"NES";6;"MSC100";2;0,0142786164
"NES";6;"MSC100";3;0,0145786405
"NES";6;"AC0";1;0,0006969454
"NES";6;"AC0";2;0,0005101939
"NES";6;"AC0";3;0,00059424
"NES";6;"AC50";1;0,000192436
"NES";6;"AC50";2;0,0003304379
"NES";6;"AC50";3;0,0001871739
"NES";6;"AC100";1;0,0002145101
"NES";6;"AC100";2;0,0003228907
"NES";6;"AC100";3;0,0003508965
"TUBB3";4;"MSC0";1;0,0767689468
"TUBB3";4;"MSC0";2;0,1116199389
"TUBB3";4;"MSC0";3;0,1041450855
"TUBB3";4;"MSC50";1;0,0782011337
"TUBB3";4;"MSC50";2;0,0662164434
"TUBB3";4;"MSC50";3;0,0644057513
"TUBB3";4;"MSC100";1;0,0696692898
"TUBB3";4;"MSC100";2;0,0691880488
"TUBB3";4;"MSC100";3;0,058584656
"TUBB3";4;"AC0";1;0,3193772231
"TUBB3";4;"AC0";2;0,2918569509
"TUBB3";4;"AC0";3;0,279967901
"TUBB3";4;"AC50";1;0,2511579186
"TUBB3";4;"AC50";2;1,3073692472
"TUBB3";4;"AC50";3;0,2786771591
"TUBB3";4;"AC100";1;0,1553219181
"TUBB3";4;"AC100";2;0,1699677966
"TUBB3";4;"AC100";3;0,2918569509
"TUBB3";5;"MSC0";1;0,0807720519
"TUBB3";5;"MSC0";2;0,0758871803
"TUBB3";5;"MSC0";3;0,0842020986
"TUBB3";5;"MSC50";1;0,0773029171
"TUBB3";5;"MSC50";2;0,1147580025
"TUBB3";5;"MSC50";3;0,092568597
"TUBB3";5;"MSC100";1;0,0873731209
"TUBB3";5;"MSC100";2;0,042787504
"TUBB3";5;"MSC100";3;0,0644057513
"TUBB3";5;"AC0";1;0,6241652745
"TUBB3";5;"AC0";2;0,3077861033
"TUBB3";5;"AC0";3;0,3511112189
"TUBB3";5;"AC50";1;0,1961460245
"TUBB3";5;"AC50";2;0,1507259785
"TUBB3";5;"AC50";3;0,3511112189
"TUBB3";5;"AC100";1;0,126744935
"TUBB3";5;"AC100";2;0,2284578626
"TUBB3";5;"AC100";3;0,2087719799
"TUBB3";6;"MSC0";1;0,1015315495
"TUBB3";6;"MSC0";2;0,1507259785
"TUBB3";6;"MSC0";3;0,1455916983
"TUBB3";6;"MSC50";1;0,0614972908
"TUBB3";6;"MSC50";2;0,0645547322
"TUBB3";6;"MSC50";3;0,0682355165
"TUBB3";6;"MSC100";1;0,0625
"TUBB3";6;"MSC100";2;0,0688690697
"TUBB3";6;"MSC100";3;0,062068281
"TUBB3";6;"AC0";1;0,233797812
"TUBB3";6;"AC0";2;0,2289863226
"TUBB3";6;"AC0";3;0,2704311665
"TUBB3";6;"AC50";1;0,1514240921
"TUBB3";6;"AC50";2;0,1422663793
"TUBB3";6;"AC50";3;0,1300074917
"TUBB3";6;"AC100";1;0,1699677966
"TUBB3";6;"AC100";2;0,0324268643
"TUBB3";6;"AC100";3;0,1711500161
"MAP2";4;"MSC0";1;0,0012418156
"MAP2";4;"MSC0";2;0,0016846524
"MAP2";4;"MSC0";3;0,0014767759
"MAP2";4;"MSC50";1;0,0004996943
"MAP2";4;"MSC50";2;0,0005318597
"MAP2";4;"MSC50";3;0,0006025353
"MAP2";4;"MSC100";1;0,0005221191
"MAP2";4;"MSC100";2;0,0005518894
"MAP2";4;"MSC100";3;0,0006985576
"MAP2";4;"AC0";1;0,0017765984
"MAP2";4;"AC0";2;0,0011721178
"MAP2";4;"AC0";3;0,0014631905
"MAP2";4;"AC50";1;0,0008307296
"MAP2";4;"AC50";2;0,0006889403
"MAP2";4;"AC50";3;0,0007968891
"MAP2";4;"AC100";1;0,0005660956
"MAP2";4;"AC100";2;0,0007066744
"MAP2";4;"AC100";3;0,0007786882
"MAP2";5;"MSC0";1;0,0032395295
"MAP2";5;"MSC0";2;0,0027430564
"MAP2";5;"MSC0";3;0,0034961917
"MAP2";5;"MSC50";1;0,0013495243
"MAP2";5;"MSC50";2;0,0014767759
"MAP2";5;"MSC50";3;0,0013495243
"MAP2";5;"MSC100";1;0,0005820107
"MAP2";5;"MSC100";2;0,0006413206
"MAP2";5;"MSC100";3;0,0008944778
"MAP2";5;"AC0";1;0,0010986899
"MAP2";5;"AC0";2;0,0010612645
"MAP2";5;"AC0";3;0,0011063319
"MAP2";5;"AC50";1;0,0021078676
"MAP2";5;"AC50";2;0,001419895
"MAP2";5;"AC50";3;0,0023226701
"MAP2";5;"AC100";1;0,0005887734
"MAP2";5;"AC100";2;0,0011613351
"MAP2";5;"AC100";3;0,0004340052
"MAP2";6;"MSC0";1;0,000276583
"MAP2";6;"MSC0";2;0,0003624325
"MAP2";6;"MSC0";3;0,0003574428
"MAP2";6;"MSC50";1;0,0006841815
"MAP2";6;"MSC50";2;0,0005753258
"MAP2";6;"MSC50";3;0,0006472751
"MAP2";6;"MSC100";1;0,0005687176
"MAP2";6;"MSC100";2;0,0005928686
"MAP2";6;"MSC100";3;0,000755647
"MAP2";6;"AC0";1;0,0012915626
"MAP2";6;"AC0";2;0,0012737813
"MAP2";6;"AC0";3;0,001147996
"MAP2";6;"AC50";1;0,0004182539
"MAP2";6;"AC50";2;0,0004068167
"MAP2";6;"AC50";3;0,0004871544
"MAP2";6;"AC100";1;0,0005137426
"MAP2";6;"AC100";2;0,0005779905
"MAP2";6;"AC100";3;0,0005860589
"SOX2";7;"MSC0";1;8,24486953075281e-07
"SOX2";7;"MSC0";2;NA
"SOX2";7;"MSC0";3;4,50512947627843e-06
"SOX2";7;"MSC50";1;NA
"SOX2";7;"MSC50";2;3,29033673092725e-06
"SOX2";7;"MSC50";3;2,511e-06
"SOX2";7;"MSC100";1;7,17757581429992e-07
"SOX2";7;"MSC100";2;2,7350525818173e-06
"SOX2";7;"MSC100";3;2,237e-06
"SOX2";7;"AC0";1;NA
"SOX2";7;"AC0";2;4,37340844604717e-08
"SOX2";7;"AC0";3;8,42631531329613e-06
"SOX2";7;"AC50";1;1,53e-07
"SOX2";7;"AC50";2;1,62627199510184e-06
"SOX2";7;"AC50";3;3,438e-06
"SOX2";7;"AC100";1;1,324e-06
"SOX2";7;"AC100";2;5,48275840217179e-06
"SOX2";7;"AC100";3;2,02076548454151e-06
"SOX2";8;"MSC0";1;8,948e-06
"SOX2";8;"MSC0";2;3,89485216410521e-06
"SOX2";8;"MSC0";3;NA
"SOX2";8;"MSC50";1;1,95193079375606e-06
"SOX2";8;"MSC50";2;NA
"SOX2";8;"MSC50";3;1,40922493037189e-06
"SOX2";8;"MSC100";1;NA
"SOX2";8;"MSC100";2;3,90386158751211e-06
"SOX2";8;"MSC100";3;1,84663905331208e-06
"SOX2";8;"AC0";1;3,61727154226111e-06
"SOX2";8;"AC0";2;4,24246248562575e-06
"SOX2";8;"AC0";3;1,83388338562518e-06
"SOX2";8;"AC50";1;3,54282917037409e-06
"SOX2";8;"AC50";2;3,719e-06
"SOX2";8;"AC50";3;2,74504537630077e-07
"SOX2";8;"AC100";1;3,149e-06
"SOX2";8;"AC100";2;2,00680703773636e-06
"SOX2";8;"AC100";3;1,34248121646308e-06
"SOX2";9;"MSC0";1;5,01701759434087e-07
"SOX2";9;"MSC0";2;NA
"SOX2";9;"MSC0";3;7,91671492889212e-06
"SOX2";9;"MSC50";1;NA
"SOX2";9;"MSC50";2;9,49277571776609e-07
"SOX2";9;"MSC50";3;2,799e-06
"SOX2";9;"MSC100";1;1,95193079375606e-06
"SOX2";9;"MSC100";2;NA
"SOX2";9;"MSC100";3;NA
"SOX2";9;"AC0";1;NA
"SOX2";9;"AC0";2;2,68757895994919e-05
"SOX2";9;"AC0";3;NA
"SOX2";9;"AC50";1;3,08421192993112e-06
"SOX2";9;"AC50";2;2,55779723692595e-06
"SOX2";9;"AC50";3;2,77964742864026e-06
"SOX2";9;"AC100";1;1,09548411845878e-06
"SOX2";9;"AC100";2;2,01879814234383e-07
"SOX2";9;"AC100";3;1,58180150187386e-06
"MYT1L";7;"MSC0";1;2,68234845325663e-07
"MYT1L";7;"MSC0";2;5,18195563567189e-07
"MYT1L";7;"MSC0";3;8,60648867799342e-08
"MYT1L";7;"MSC50";1;4,82377739096605e-07
"MYT1L";7;"MSC50";2;4,53810951749168e-08
"MYT1L";7;"MSC50";3;3,07409836873908e-07
"MYT1L";7;"MSC100";1;4,48e-07
"MYT1L";7;"MSC100";2;1,15949505259071e-07
"MYT1L";7;"MSC100";3;8,41811176577239e-07
"MYT1L";7;"AC0";1;3,7e-08
"MYT1L";7;"AC0";2;1,25425439858522e-07
"MYT1L";7;"AC0";3;NA
"MYT1L";7;"AC50";1;2,52e-07
"MYT1L";7;"AC50";2;4,67648564515561e-08
"MYT1L";7;"AC50";3;5,44e-07
"MYT1L";7;"AC100";1;2,21426823148381e-07
"MYT1L";7;"AC100";2;NA
"MYT1L";7;"AC100";3;1,51441236163406e-08
"MYT1L";8;"MSC0";1;3,44719941587833e-08
"MYT1L";8;"MSC0";2;2,66382011907631e-07
"MYT1L";8;"MSC0";3;NA
"MYT1L";8;"MSC50";1;5,57417421251727e-08
"MYT1L";8;"MSC50";2;NA
"MYT1L";8;"MSC50";3;1,59862327307872e-07
"MYT1L";8;"MSC100";1;1,1686977792064e-06
"MYT1L";8;"MSC100";2;5,19394233771614e-07
"MYT1L";8;"MSC100";3;NA
"MYT1L";8;"AC0";1;5,12243579870839e-07
"MYT1L";8;"AC0";2;1,08290141017044e-06
"MYT1L";8;"AC0";3;NA
"MYT1L";8;"AC50";1;NA
"MYT1L";8;"AC50";2;3,43130672037596e-08
"MYT1L";8;"AC50";3;9,97805133984626e-08
"MYT1L";8;"AC100";1;3,62695310613691e-08
"MYT1L";8;"AC100";2;NA
"MYT1L";8;"AC100";3;NA
"MYT1L";9;"MSC0";1;NA
"MYT1L";9;"MSC0";2;NA
"MYT1L";9;"MSC0";3;NA
"MYT1L";9;"MSC50";1;3,90908240504394e-07
"MYT1L";9;"MSC50";2;3,47455928580034e-07
"MYT1L";9;"MSC50";3;4,10342901823201e-07
"MYT1L";9;"MSC100";1;9,69223911445798e-07
"MYT1L";9;"MSC100";2;1,52087533644332e-06
"MYT1L";9;"MSC100";3;1,73727964290016e-07
"MYT1L";9;"AC0";1;NA
"MYT1L";9;"AC0";2;3,01083433912192e-07
"MYT1L";9;"AC0";3;1,6544e-05
"MYT1L";9;"AC50";1;8,4017286229566e-09
"MYT1L";9;"AC50";2;2,45688443262409e-07
"MYT1L";9;"AC50";3;3,52306232592971e-07
"MYT1L";9;"AC100";1;2,8e-08
"MYT1L";9;"AC100";2;4,06567998775462e-07
"MYT1L";9;"AC100";3;1,81944275970526e-07
"POU3F2";7;"MSC0";1;4,49911260159638e-05
"POU3F2";7;"MSC0";2;3,20348109015828e-05
"POU3F2";7;"MSC0";3;3,18135302991065e-05
"POU3F2";7;"MSC50";1;2,65057826621013e-05
"POU3F2";7;"MSC50";2;4,10194213743109e-05
"POU3F2";7;"MSC50";3;4,45772352481101e-05
"POU3F2";7;"MSC100";1;3,6544149921232e-05
"POU3F2";7;"MSC100";2;4,43717198889255e-05
"POU3F2";7;"MSC100";3;4,28602562175902e-05
"POU3F2";7;"AC0";1;3,16668597155685e-05
"POU3F2";7;"AC0";2;4,7666437587582e-05
"POU3F2";7;"AC0";3;4,32582051764605e-05
