"Gen";"Treat";"Conc";"delta_ct";"SE";"df";"lower.CL";"upper.CL";"sig_star_msc";"sig_star_ac"
"ALCAM";"MS";"0";0,18513719402901;0,0192789320331174;46;0,150127936515672;0,228310475774487;"";""
"ALCAM";"MS";"50";0,198272370542802;0,0206467402500483;46;0,16077926433841;0,244508724943024;"";""
"ALCAM";"MS";"100";0,148765418978307;0,0154914220041145;46;0,120634027609834;0,183456942641176;"";""
"ALCAM";"A";"0";0,0142786164050215;0,00148687829392202;46;0,0115785443785478;0,0176083348455688;"*";""
"ALCAM";"A";"50";0,011805112133192;0,0012293043310545;46;0,00957277728112556;0,014558018888835;"*";""
"ALCAM";"A";"100";0,01071336541663;0,00111561723075914;46;0,00868747877255289;0,0132116810360292;"*";""
"ENG";"MS";"0";0,448893292528376;0,0861514152662814;46;0,305048601115382;0,660567487738613;"";""
"ENG";"MS";"50";0,352465890851822;0,0676451081702355;46;0,239520680604597;0,518670053460027;"";""
"ENG";"MS";"100";0,237061507814457;0,0454967466507268;46;0,161096818644338;0,348847103004161;"*";""
"ENG";"A";"0";0,0758871802713073;0,0145642362890224;46;0,0515696682700817;0,111671537217758;"*";""
"ENG";"A";"50";0,0865026948796509;0,0166015614674353;46;0,0587835160492628;0,127292763760017;"*";""
"ENG";"A";"100";0,108735044379596;0,020868384799383;46;0,0738916658642612;0,160008706502194;"*";""
"GJA1";"MS";"0";0,462937356154777;0,0482339992162194;46;0,375352556404322;0,570959201068351;"";""
"GJA1";"MS";"50";0,416580341964114;0,0434040062238389;46;0,337765994092164;0,513785236957825;"";""
"GJA1";"MS";"100";0,345744397184561;0,036023524049411;46;0,280331758974118;0,426420426361868;"";""
"GJA1";"A";"0";0,113965311070295;0,0118741826550781;46;0,0924037999589449;0,140557987151174;"*";""
"GJA1";"A";"50";0,0778106321704551;0,0081071832316519;46;0,0630893560701373;0,0959669721788728;"*";"#"
"GJA1";"A";"100";0,0969465476111678;0,0101009772474029;46;0,0786048781689998;0,11956806387407;"*";""
"GJA4";"MS";"0";0,00040338483009275;4,28094413339838e-05;46;0,000325795976115529;0,00049945159878603;"";""
"GJA4";"MS";"50";0,000229375672974997;2,434262194096e-05;46;0,000185256523545675;0,000284001871274244;"*";""
"GJA4";"MS";"100";0,000348204446829534;3,69533922119823e-05;46;0,000281229236152763;0,000431129915404674;"";""
"GJA4";"A";"0";0,000246597263961068;2,61702729431718e-05;46;0,000199165636201893;0,000305324812817818;"*";""
"GJA4";"A";"50";0,000270265814132279;2,86821111047159e-05;46;0,000218281670893867;0,000334630067607;"*";""
"GJA4";"A";"100";0,000258657978091204;2,74502229945441e-05;46;0,000208906538287314;0,000320257806092287;"*";""
"GJA5";"MS";"0";0,000349009894081332;6,52479993338368e-05;46;0,000239555705596189;0,000508474243447954;"";""
"GJA5";"MS";"50";0,000155825847634532;2,91319099403043e-05;46;0,000106956769745661;0,000227023449275454;"*";""
"GJA5";"MS";"100";0,000249654803544063;4,66733944555055e-05;46;0,000171359705362791;0,000363723319905747;"";""
"GJA5";"A";"0";1,06574345264662e-05;1,99242569530487e-06;46;7,31511997547509e-06;1,55268691513891e-05;"*";""
"GJA5";"A";"50";7,33274215843668e-06;1,37086874493414e-06;46;5,03309577037338e-06;1,06831083721115e-05;"*";""
"GJA5";"A";"100";1,53058721100137e-05;2,86145908804876e-06;46;1,05057451243055e-05;2,22992008921005e-05;"*";""
"GJB2";"MS";"0";1,4435694072351e-05;3,12677126334916e-06;46;9,33443936589333e-06;2,23247755094895e-05;"";""
"GJB2";"MS";"50";1,40625914509426e-05;3,04595723743166e-06;46;9,0931829511108e-06;2,17477729612782e-05;"";""
"GJB2";"MS";"100";4,79143387360881e-06;1,03782455288607e-06;46;3,09824721587528e-06;7,40994406370511e-06;"*";""
"GJB2";"A";"0";0,000208965942165398;4,52620220203265e-05;46;0,000135122004311221;0,000323165462262509;"*";""
"GJB2";"A";"50";5,85037690784365e-05;1,26719160876675e-05;46;3,78298322478894e-05;9,04759760486112e-05;"*";"#"
"GJB2";"A";"100";6,72549496363548e-05;1,45674217524271e-05;46;4,34885393310722e-05;0,000104009661399614;"*";"#"
"GJC1";"MS";"0";0,0049405551792671;0,000432341610801429;46;0,00414263397746281;0,00589216561544558;"";""
"GJC1";"MS";"50";0,00419953249045954;0,000367495671166161;46;0,00352128968368642;0,00500841303120572;"";""
"GJC1";"MS";"100";0,00463461967197917;0,000405569589191939;46;0,00388610838845172;0,00552730324448158;"";""
"GJC1";"A";"0";0,0021554760084924;0,000188622925104882;46;0,00180735723544963;0,00257064665029019;"*";""
"GJC1";"A";"50";0,00101061166289926;8,8437323008989e-05;46;0,000847393473169899;0,00120526764192251;"*";"#"
"GJC1";"A";"100";0,0010346319444129;9,05393068599311e-05;46;0,000867534374492928;0,00123391451897833;"*";"#"
"GJD2";"MS";"0";5,98937328533492e-07;4,22510319767403e-07;34;1,4281414088784e-07;2,51183756230809e-06;"";""
"GJD2";"MS";"50";3,5906951199184e-07;1,87083958405452e-07;34;1,24545003667759e-07;1,03521546946997e-06;"";""
"GJD2";"MS";"100";5,05385948582943e-07;2,83455528182049e-07;34;1,61660519102085e-07;1,57994641142896e-06;"";""
"GJD2";"A";"0";1,2376147706337e-06;6,02926491897581e-07;34;4,59848205288841e-07;3,33086071202259e-06;"";""
"GJD2";"A";"50";3,78757496184832e-07;1,73451226789129e-07;34;1,49341241586703e-07;9,60600296287986e-07;"";""
"GJD2";"A";"100";3,17094196996274e-07;1,5454618885912e-07;34;1,17768201970344e-07;8,53785046272774e-07;"";""
"MAP2";"MS";"0";0,00114711220275981;0,000166691838574626;46;0,000856196892594017;0,00153687360594568;"";""
"MAP2";"MS";"50";0,000782294815191651;0,000113678645156039;46;0,000583899629215043;0,00104809995974557;"";""
"MAP2";"MS";"100";0,000636400345611497;9,2478088389511e-05;46;0,000475004970784375;0,00085263402449378;"*";""
"MAP2";"A";"0";0,0012494903985859;0,00018156885727528;46;0,000932611294711611;0,00167403747414525;"";""
"MAP2";"A";"50";0,000862014612409632;0,000125263073895521;46;0,000643401953828142;0,00115490664519525;"";""
"MAP2";"A";"100";0,000632004404303438;9,18392951335911e-05;46;0,000471723869529476;0,000846744447037114;"*";"#"
"MYT1L";"MS";"0";2,06367597774152e-07;1,24831551055229e-07;33;6,02789400122593e-08;7,06508531875527e-07;"";""
"MYT1L";"MS";"50";1,99574177351992e-07;9,26241876582036e-08;33;7,76296127857114e-08;5,13075498336835e-07;"";""
"MYT1L";"MS";"100";5,17183168054375e-07;2,40029403839377e-07;33;2,0117196326726e-07;1,32960092934725e-06;"";""
"MYT1L";"A";"0";4,83797214635737e-07;2,58355226307186e-07;33;1,63236990559199e-07;1,43386461663794e-06;"";""
"MYT1L";"A";"50";1,02326491562089e-07;4,74906537639699e-08;33;3,98025737752393e-08;2,63066175934584e-07;"";"#"
"MYT1L";"A";"100";6,9703326051506e-08;3,77554704390898e-08;33;2,31555258050988e-08;2,09822644648074e-07;"";"#"
"NES";"MS";"0";0,0164904865763766;0,00135172500255381;46;0,013982221272394;0,0194487086299054;"";""
"NES";"MS";"50";0,0142456638716799;0,0011677169102404;46;0,0120788445812946;0,0168011880423694;"";""
"NES";"MS";"100";0,0137922343305387;0,00113054929576047;46;0,0116943833862709;0,016266417949989;"";""
"NES";"A";"0";0,000480077697236128;3,93519635407338e-05;46;0,000407056065908509;0,000566198650962606;"*";""
"NES";"A";"50";0,000282177179216903;2,31300602642014e-05;46;0,000239256964284049;0,000332796835022439;"*";"#"
"NES";"A";"100";0,000297578007290356;2,43924659713042e-05;46;0,000252315268228191;0,00035096041172908;"*";"#"
"NT5E";"MS";"0";0,120000399283694;0,00808797427076675;46;0,104776214974339;0,137436686673332;"";""
"NT5E";"MS";"50";0,136892101363341;0,00922646758099866;46;0,119524904303243;0,156782785352648;"";""
"NT5E";"MS";"100";0,142047411260533;0,00957393320657333;46;0,124026171476284;0,162687171631975;"";""
"NT5E";"A";"0";0,152242645789791;0,0102610875414696;46;0,132927959229723;0,174363793225926;"*";""
"NT5E";"A";"50";0,104627451604844;0,00705184434091182;46;0,0913535990463662;0,119830020312259;"";"#"
"NT5E";"A";"100";0,107651807237629;0,00725568458385788;46;0,0939942613927505;0,123293820599366;"";"#"
"POU3F2";"MS";"0";5,52201955365387e-05;8,24410726934005e-06;46;4,08870423969105e-05;7,4577905770068e-05;"";""
"POU3F2";"MS";"50";3,35757180213503e-05;5,01269179371103e-06;46;2,48606835399068e-05;4,5345850561173e-05;"*";""
"POU3F2";"MS";"100";4,05795139653331e-05;6,05832454625275e-06;46;3,00465489450999e-05;5,48048615057742e-05;"";""
"POU3F2";"A";"0";1,8328448577069e-05;2,73634844429258e-06;46;1,35710503513945e-05;2,47535760714162e-05;"*";""
"POU3F2";"A";"50";2,85177948483139e-05;4,25756840464222e-06;46;2,11156131502263e-05;3,85148476259994e-05;"*";"#"
"POU3F2";"A";"100";3,73407690126599e-05;5,5747956389673e-06;46;2,76484643149014e-05;5,04307586336842e-05;"";"#"
"SOX2";"MS";"0";2,83041276889659e-06;1,40757652748466e-06;34;1,03022637571476e-06;7,77619038997594e-06;"";""
"SOX2";"MS";"50";1,98071193440527e-06;9,85016622739614e-07;34;7,20948442552715e-07;5,44174803014241e-06;"";""
"SOX2";"MS";"100";2,0892268239362e-06;1,05220569183115e-06;34;7,50726853958351e-07;5,81419020625138e-06;"";""
"SOX2";"A";"0";2,49318352220558e-06;1,25565202532765e-06;34;8,95881577108903e-07;6,93837693979257e-06;"";""
"SOX2";"A";"50";1,5977242510223e-06;6,48751595348051e-07;34;7,00047497166812e-07;3,64649940559175e-06;"";""
"SOX2";"A";"100";1,52087452522097e-06;6,17546972783315e-07;34;6,66375567751735e-07;3,47110463438818e-06;"";""
"THY1";"MS";"0";0,329623016280089;0,0422114686849336;46;0,254723476445508;0,426546207588477;"";""
"THY1";"MS";"50";0,266297559315331;0,0341020211900547;46;0,205787328940998;0,344600371957955;"";""
"THY1";"MS";"100";0,146717321471865;0,0187885958048042;46;0,113379055266973;0,189858456389424;"*";""
"THY1";"A";"0";0,0290005128415415;0,00371380085490617;46;0,0224107877328051;0,0375278975063116;"*";""
"THY1";"A";"50";0,0200072496349787;0,00256212506325994;46;0,0154610446765781;0,0258902322792427;"*";"#"
"THY1";"A";"100";0,0255004526654372;0,00326558373042761;46;0,0197060388172494;0,0329986707208247;"*";""
"TUBB3";"MS";"0";0,100288092253336;0,0141675296874115;46;0,075466481157014;0,133273756687924;"";""
"TUBB3";"MS";"50";0,0749000821350028;0,0105810083071145;46;0,0563620815801485;0,0995353994485202;"";""
"TUBB3";"MS";"100";0,0640594648135191;0,00904957257749645;46;0,0482045503674144;0,0851292046272976;"*";""
"TUBB3";"A";"0";0,308735747879568;0,0436145785144644;46;0,232322701293333;0,41028173952922;"*";""
"TUBB3";"A";"50";0,240185709582386;0,0339306301929107;46;0,180739008182501;0,319184971012691;"*";""
"TUBB3";"A";"100";0,152242645787542;0,0215070618597128;46;0,11456212299459;0,202316634770163;"*";"#"
